"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"1","Aquarius remigis",100,"Mount St. Hilaire (SITE)","Assortive Mating","Arnqvuist, 1996",0.214,"Aquarius remigis",100,"Mount St. Hilaire (SITE)","Assortive Mating","Arnqvuist, 1996",0.21735959
"2","Gerridae comatus",108,"Nydalasjon 1993 (SITE)","Assortive Mating","Arnqvuist, 1996",0.162,"Gerridae comatus",108,"Nydalasjon 1993 (SITE)","Assortive Mating","Arnqvuist, 1996",0.163439918
"3","Gerridae comatus",108,"Nydalasjon 1993 (SITE)","Index of Heteroscedastiscity","Arnqvuist, 1996",-0.191,"Gerridae comatus",108,"Nydalasjon 1993 (SITE)","Index of Heteroscedastiscity","Arnqvuist, 1996",-0.193374826
"4","Coenagrion puella",148,"Bonn et al., 1996","","Beasley 2013",0.240004575,"Coenagrion puella",148,"Bonn et al., 1996","","Beasley 2013",0.27005
"5","Nemuora trispinosa",172,"Hogg et al., 2001","","Beasley 2013",0.4604208535,"Nemuora trispinosa",172,"Hogg et al., 2001","","Beasley 2013",0.5256
"6","Calidris alpina",101,"Barbosa, 1997","Scan Duration vs. Group Size","Beauchamp 2008",-0.05,"Calidris alpina",101,"Barbosa, 1997","Scan Duration vs. Group Size","Beauchamp 2008",-0.05
"7","Passer domesticus",192,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.2,"Passer domesticus",192,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.202732554
"8","Fringilla coelebs",196,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.267,"Fringilla coelebs",196,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.273630739
"9","Fringilla coelebs",231,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.212,"Fringilla coelebs",231,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.215264538
"10","Passer domesticus",281,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.198,"Passer domesticus",281,"Beveridge and Deag, 1987","Scan Duration vs. Group Size","Beauchamp 2008",0.200650085
"11","Pica pica",113,"Diaz and Asensia, 1991","Scan Duration vs. Group Size","Beauchamp 2008",0,"Pica pica",113,"Diaz and Asensia, 1991","Scan Duration vs. Group Size","Beauchamp 2008",0
"12","Limosa limosa",535,"Dominguez, 2002","Scan Duration vs. Group Size","Beauchamp 2008",0.211,"Limosa limosa",535,"Dominguez, 2002","Scan Duration vs. Group Size","Beauchamp 2008",0.214217711
"13","Molothrus ater",126,"Fernandez-Juricic et al., 2007","Scan Duration vs. Group Size","Beauchamp 2008",0.296,"Molothrus ater",126,"Fernandez-Juricic et al., 2007","Scan Duration vs. Group Size","Beauchamp 2008",0.30512976
"14","Anas crecca crecca",157,"Poysa, 1994","Scan Duration vs. Group Size","Beauchamp 2008",0.233,"Anas crecca crecca",157,"Poysa, 1994","Scan Duration vs. Group Size","Beauchamp 2008",0.237359351
"15","Junco phaeonotus",215,"Pulliam et al., 1982","Scan Duration vs. Group Size","Beauchamp 2008",-0.03,"Junco phaeonotus",215,"Pulliam et al., 1982","Scan Duration vs. Group Size","Beauchamp 2008",-0.03
"16","Corvus corone corone",1203,"Saino, 1994","Scan Duration vs. Group Size","Beauchamp 2008",0.158,"Corvus corone corone",1203,"Saino, 1994","Scan Duration vs. Group Size","Beauchamp 2008",0.159334822
"17","Eolophus roseicapilla",199,"Westcott and Cockburn, 1988","Scan Duration vs. Group Size","Beauchamp 2008",0.33,"Eolophus roseicapilla",199,"Westcott and Cockburn, 1988","Scan Duration vs. Group Size","Beauchamp 2008",0.342828254
"18","Calidris alpina",101,"Barbosa, 1997","Scan Frequency vs. Group Size","Beauchamp 2008",-0.08,"Calidris alpina",101,"Barbosa, 1997","Scan Frequency vs. Group Size","Beauchamp 2008",-0.0802
"19","Passer domesticus",98,"Barnard, 1980","Scan Frequency vs. Group Size","Beauchamp 2008",0.479,"Passer domesticus",98,"Barnard, 1980","Scan Frequency vs. Group Size","Beauchamp 2008",0.52168571
"20","Passer domesticus",192,"Beveridge and Deag, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.266,"Passer domesticus",192,"Beveridge and Deag, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.272554287
"21","Fringilla coelebs",196,"Beveridge and Deag, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.351,"Fringilla coelebs",196,"Beveridge and Deag, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.366583811
