R quantiles          quantR
0%   -0.87600000
1%   -0.44679387
2%   -0.34894882
3%   -0.28248000
4%   -0.23366862
5%   -0.22520567
6%   -0.17656000
7%   -0.13614589
8%   -0.11465516
9%   -0.08802395
10%  -0.06993153
11%  -0.05994400
12%  -0.05000000
13%  -0.04872200
14%  -0.04000000
15%  -0.02600000
16%  -0.01000000
17%   0.00000000
18%   0.00892000
19%   0.01000000
20%   0.02000000
21%   0.03000000
22%   0.03000000
23%   0.03479690
24%   0.04000000
25%   0.04000000
26%   0.04995837
27%   0.05974800
28%   0.05990000
29%   0.06998174
30%   0.07866000
31%   0.08960800
32%   0.08980000
33%   0.09793697
34%   0.10092800
35%   0.10956158
36%   0.11614528
37%   0.11942730
38%   0.12396000
39%   0.13712649
40%   0.14340000
41%   0.14888503
42%   0.15864850
43%   0.16200000
44%   0.16838105
45%   0.17641617
46%   0.17886793
47%   0.18774621
48%   0.19737532
49%   0.19804000
50%   0.20000000
51%   0.20692784
52%   0.20696650
53%   0.21621589
54%   0.22400000
55%   0.22602835
56%   0.23892246
57%   0.24491866
58%   0.25114446
59%   0.26514494
60%   0.27451197
61%   0.28261932
62%   0.29116256
63%   0.29812981
64%   0.30463105
65%   0.31140000
66%   0.32747740
67%   0.33400000
68%   0.33637554
69%   0.35171801
70%   0.36010000
71%   0.36270747
72%   0.37136023
73%   0.37544393
74%   0.37994896
75%   0.39200000
76%   0.40501302
77%   0.41364444
78%   0.43819931
79%   0.45942815
80%   0.46994520
81%   0.48280000
82%   0.49103134
83%   0.50559112
84%   0.52170588
85%   0.52989561
86%   0.53872400
87%   0.55499109
88%   0.57166997
89%   0.59817336
90%   0.61937172
91%   0.63700623
92%   0.65453145
93%   0.68160336
94%   0.70749364
95%   0.73059390
96%   0.78214859
97%   0.82469747
98%   0.86324000
99%   0.94099893
100%  0.99310043
    Categories    Values
1   % negative 0.1763224
2   %  0 - 0.1 0.1612091
3 %  0.1 - 0.3 0.2921914
4 %  0.3 - 0.5 0.1964736
5   %  0.5 - 1 0.1738035
Z quantiles          quantR
0%   -0.87600000
1%   -0.44679387
2%   -0.34894882
3%   -0.28248000
4%   -0.23366862
5%   -0.22520567
6%   -0.17656000
7%   -0.13614589
8%   -0.11465516
9%   -0.08802395
10%  -0.06993153
11%  -0.05994400
12%  -0.05000000
13%  -0.04872200
14%  -0.04000000
15%  -0.02600000
16%  -0.01000000
17%   0.00000000
18%   0.00892000
19%   0.01000000
20%   0.02000000
21%   0.03000000
22%   0.03000000
23%   0.03479690
24%   0.04000000
25%   0.04000000
26%   0.04995837
27%   0.05974800
28%   0.05990000
29%   0.06998174
30%   0.07866000
31%   0.08960800
32%   0.08980000
33%   0.09793697
34%   0.10092800
35%   0.10956158
36%   0.11614528
37%   0.11942730
38%   0.12396000
39%   0.13712649
40%   0.14340000
41%   0.14888503
42%   0.15864850
43%   0.16200000
44%   0.16838105
45%   0.17641617
46%   0.17886793
47%   0.18774621
48%   0.19737532
49%   0.19804000
50%   0.20000000
51%   0.20692784
52%   0.20696650
53%   0.21621589
54%   0.22400000
55%   0.22602835
56%   0.23892246
57%   0.24491866
58%   0.25114446
59%   0.26514494
60%   0.27451197
61%   0.28261932
62%   0.29116256
63%   0.29812981
64%   0.30463105
65%   0.31140000
66%   0.32747740
67%   0.33400000
68%   0.33637554
69%   0.35171801
70%   0.36010000
71%   0.36270747
72%   0.37136023
73%   0.37544393
74%   0.37994896
75%   0.39200000
76%   0.40501302
77%   0.41364444
78%   0.43819931
79%   0.45942815
80%   0.46994520
81%   0.48280000
82%   0.49103134
83%   0.50559112
84%   0.52170588
85%   0.52989561
86%   0.53872400
87%   0.55499109
88%   0.57166997
89%   0.59817336
90%   0.61937172
91%   0.63700623
92%   0.65453145
93%   0.68160336
94%   0.70749364
95%   0.73059390
96%   0.78214859
97%   0.82469747
98%   0.86324000
99%   0.94099893
100%  0.99310043
        Categories     Values
1       % negative 0.17632242
2       %  0 - 0.1 0.15869018
3   %  0.1 - 0.310 0.30226700
4 %  0.310 - 0.549 0.18639798
5     %  0.549 - 1 0.12846348
6            % > 1 0.04785894
